FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.435153931,0.264044940,0.579439223
0.125787579,0.435533375,0.264054507,0.580267549
0.126575158,0.438562721,0.265679449,0.581020594
0.127362736,0.441627145,0.266900778,0.584347844
0.128150315,0.441627145,0.266900778,0.584347844
0.128937894,0.444521904,0.267649353,0.584858596
0.129725473,0.447616309,0.270114928,0.584858596
0.130513051,0.447616309,0.270114928,0.584858596
0.131300630,0.450090140,0.271381587,0.586266100
0.132088209,0.452936262,0.272807807,0.586266100
0.132875788,0.452936262,0.272807807,0.586266100
0.133663366,0.455736339,0.273996502,0.588132620
0.134450945,0.458711922,0.279386699,0.588132620
0.135238524,0.461467743,0.283645660,0.590794981
0.136026103,0.461467743,0.283645660,0.590794981
0.136813681,0.464152038,0.284628391,0.591924369
0.137601260,0.466600716,0.291666657,0.593264222
0.138388839,0.466600716,0.291666657,0.593264222
0.139176418,0.469163030,0.293650806,0.594982088
0.139963996,0.471768379,0.297629505,0.595113456
0.140751575,0.471768379,0.297629505,0.595113456
0.141539154,0.474340320,0.300347209,0.597135186
0.142326733,0.476839393,0.301313639,0.597731233
0.143114311,0.479291558,0.304940373,0.597731233
0.143901890,0.479291558,0.304940373,0.597731233
0.144689469,0.481732249,0.305778503,0.599820971
0.145477048,0.484169185,0.306291401,0.600482345
0.146264626,0.484169185,0.306291401,0.600482345
0.147052205,0.486485720,0.307495743,0.601170540
0.147839784,0.488602430,0.308988750,0.602506697
0.148627363,0.488602430,0.308988750,0.602506697
0.149414941,0.490937382,0.310058177,0.603298604
0.150202520,0.493334919,0.311165839,0.603404284
0.150990099,0.495523930,0.311396480,0.604927778
0.151777678,0.495523930,0.311396480,0.604927778
0.152565257,0.497985154,0.316335350,0.605012953
0.153352835,0.500037134,0.317734003,0.605877280
0.154140414,0.500037134,0.317734003,0.605877280
0.154927993,0.502031326,0.317880809,0.606164396
0.155715572,0.504338861,0.320634931,0.606164396
0.156503150,0.504338861,0.320634931,0.606164396
0.157290729,0.506527722,0.323580027,0.606457233
0.158078308,0.508800030,0.326158941,0.611111104
0.158865887,0.510974526,0.328970343,0.612903237
0.159653465,0.510974526,0.328970343,0.612903237
0.160441044,0.513028383,0.334201396,0.613553107
0.161228623,0.514954209,0.334201396,0.613553107
0.162016202,0.514954209,0.334201396,0.613553107
0.162803780,0.516950905,0.338246703,0.614583313
0.163591359,0.518941462,0.342364520,0.616319418
0.164378938,0.518941462,0.342364520,0.616319418
0.165166517,0.520856917,0.343827665,0.617213130
0.165954095,0.522658587,0.345917463,0.617540658
0.166741674,0.524385095,0.352253765,0.618636727
0.167529253,0.524385095,0.352253765,0.618636727
0.168316832,0.526209474,0.353476822,0.619966447
0.169104410,0.527887404,0.354757935,0.621311486
0.169891989,0.527887404,0.354757935,0.621311486
0.170679568,0.529458106,0.357838809,0.621739149
0.171467147,0.530981302,0.361720800,0.622950792
0.172254725,0.530981302,0.361720800,0.622950792
0.173042304,0.532780290,0.361720800,0.623626351
0.173829883,0.534326017,0.364715874,0.623762369
0.174617462,0.535990596,0.367816091,0.624590158
0.175405041,0.535990596,0.367816091,0.624590158
0.176192619,0.537567139,0.374172181,0.625457883
0.176980198,0.539231181,0.374172181,0.625539243
0.177767777,0.539231181,0.374172181,0.625539243
0.178555356,0.540718973,0.377483457,0.628127694
0.179342934,0.542308271,0.383503407,0.629502594
0.180130513,0.542308271,0.383503407,0.629502594
0.180918092,0.543792427,0.385204077,0.630782902
0.181705671,0.545186162,0.386784852,0.632224143
0.182493249,0.546625674,0.387341768,0.633099854
0.183280828,0.546625674,0.387341768,0.633099854
0.184068407,0.547977507,0.392538518,0.634648383
0.184855986,0.549324572,0.394160599,0.635335088
0.185643564,0.549324572,0.394160599,0.635335088
0.186431143,0.550724447,0.398595273,0.635726810
0.187218722,0.551931500,0.399026752,0.637946069
0.188006301,0.551931500,0.399026752,0.637946069
0.188793879,0.553292811,0.402900875,0.638316929
0.189581458,0.554692030,0.409863949,0.638316929
0.190369037,0.556000829,0.414674371,0.638841569
0.191156616,0.556000829,0.414674371,0.638841569
0.191944194,0.557264507,0.417085439,0.640552998
0.192731773,0.558503509,0.420924574,0.644128084
0.193519352,0.558503509,0.420924574,0.644128084
0.194306931,0.559732199,0.420924574,0.644859791
0.195094509,0.560880780,0.425460637,0.646559834
0.195882088,0.560880780,0.425460637,0.646559834
0.196669667,0.562102497,0.426433921,0.646559834
0.197457246,0.563439369,0.433560491,0.646721303
0.198244824,0.564707637,0.434591740,0.647359431
0.199032403,0.564707637,0.434591740,0.647359431
0.199819982,0.565850198,0.440609962,0.647359431
0.200607561,0.566938460,0.440609962,0.648258269
0.201395140,0.566938460,0.440609962,0.648258269
0.202182718,0.567986071,0.442227751,0.648847938
0.202970297,0.568938851,0.442930162,0.649328887
0.203757876,0.568938851,0.442930162,0.649328887
0.204545455,0.570073187,0.445552796,0.650159717
0.205333033,0.571137786,0.448877811,0.650159717
0.206120612,0.572190940,0.449533492,0.651909709
0.206908191,0.572190940,0.449533492,0.651909709
0.207695770,0.573209345,0.452926219,0.653516293
0.208483348,0.574328363,0.455858737,0.654205620
0.209270927,0.574328363,0.455858737,0.654205620
0.210058506,0.575290561,0.455858737,0.654813528
0.210846085,0.576296508,0.459770113,0.655055225
0.211633663,0.576296508,0.459770113,0.655055225
0.212421242,0.577293992,0.459770113,0.655652165
0.213208821,0.578295171,0.459770113,0.655904830
0.213996400,0.579342186,0.463054180,0.657618225
0.214783978,0.579342186,0.463054180,0.657618225
0.215571557,0.580377877,0.463054180,0.658064544
0.216359136,0.581399918,0.463840395,0.658395350
0.217146715,0.581399918,0.463840395,0.658395350
0.217934293,0.582487941,0.464671642,0.658493876
0.218721872,0.583303094,0.464671642,0.658493876
0.219509451,0.583303094,0.464671642,0.658493876
0.220297030,0.584134281,0.468174219,0.658986151
0.221084608,0.584998488,0.471107543,0.660216689
0.221872187,0.585922003,0.475477964,0.660245180
0.222659766,0.585922003,0.475477964,0.660245180
0.223447345,0.586791635,0.476309240,0.660328448
0.224234923,0.587709963,0.483790517,0.662538707
0.225022502,0.587709963,0.483790517,0.662538707
0.225810081,0.588540196,0.484672755,0.662538707
0.226597660,0.589428127,0.486853272,0.662582457
0.227385239,0.589428127,0.486853272,0.662582457
0.228172817,0.590289295,0.487115532,0.662988126
0.228960396,0.591080844,0.488945574,0.662988126
0.229747975,0.591833711,0.489025474,0.663879573
0.230535554,0.591833711,0.489025474,0.663879573
0.231323132,0.592588365,0.489112228,0.664930582
0.232110711,0.593430281,0.491974324,0.664930582
0.232898290,0.593430281,0.491974324,0.664930582
0.233685869,0.594240487,0.492411464,0.666100264
0.234473447,0.594993889,0.495184600,0.666955769
0.235261026,0.594993889,0.495184600,0.666955769
0.236048605,0.595765948,0.495568097,0.667823076
0.236836184,0.596528828,0.498349845,0.669672132
0.237623762,0.597357035,0.500000000,0.671526611
0.238411341,0.597357035,0.500000000,0.671526611
0.239198920,0.598091781,0.502604187,0.671526611
0.239986499,0.598839581,0.506234407,0.671526611
0.240774077,0.598839581,0.506234407,0.671526611
0.241561656,0.599594355,0.506600678,0.671564400
0.242349235,0.600240827,0.506600678,0.672523975
0.243136814,0.600240827,0.506600678,0.672523975
0.243924392,0.601017714,0.509548604,0.673380017
0.244711971,0.601786971,0.509548604,0.673380017
0.245499550,0.602509260,0.517120302,0.674110830
0.246287129,0.602509260,0.517120302,0.674110830
0.247074707,0.603273153,0.517120302,0.674157321
0.247862286,0.604020119,0.518425465,0.674616694
0.248649865,0.604020119,0.518425465,0.674616694
0.249437444,0.604892850,0.521285832,0.674616694
0.250225023,0.605624974,0.522028267,0.675022364
0.251012601,0.605624974,0.522028267,0.675022364
0.251800180,0.606318235,0.524440765,0.675718844
0.252587759,0.606969595,0.524440765,0.675885916
0.253375338,0.606969595,0.524440765,0.675885916
0.254162916,0.607774913,0.527015030,0.677631557
0.254950495,0.608475626,0.527515709,0.678268254
0.255738074,0.609127939,0.528571427,0.678691268
0.256525653,0.609127939,0.528571427,0.678691268
0.257313231,0.609804451,0.531198680,0.678875625
0.258100810,0.610564470,0.531446517,0.679117143
0.258888389,0.610564470,0.531446517,0.679117143
0.259675968,0.611253560,0.531446517,0.679117143
0.260463546,0.611944556,0.531446517,0.679966033
0.261251125,0.611944556,0.531446517,0.679966033
0.262038704,0.612582743,0.531635165,0.679966033
0.262826283,0.613328934,0.531635165,0.680960536
0.263613861,0.614044070,0.533278525,0.681859612
0.264401440,0.614044070,0.533278525,0.681859612
0.265189019,0.614781201,0.533554256,0.682282805
0.265976598,0.615443587,0.536458313,0.682675838
0.266764176,0.615443587,0.536458313,0.682675838
0.267551755,0.616115749,0.536918163,0.683610857
0.268339334,0.616843283,0.537387013,0.684210539
0.269126913,0.616843283,0.537387013,0.684210539
0.269914491,0.617474973,0.537387013,0.685077548
0.270702070,0.618130565,0.538778901,0.685829937
0.271489649,0.618828356,0.541768074,0.686635971
0.272277228,0.618828356,0.541768074,0.686635971
0.273064806,0.619446993,0.542229712,0.687393546
